Denis Villeneuve;Sicario;2015;5;19;akció,thriller;7,6;16;nem feliratos
Denis Villeneuve;Érkezés;2016;11;11;sci-fi,dráma;7,9;12;nem feliratos
Denis Villeneuve;Blade Runner 2049;2017;10;6;sci-fi;8;16;feliratos
Denis Villeneuve;Dûne;2021;9;21;sci-fi;8,2;12;nem feliratos
Denis Villeneuve;Dune: Part 2;2023;10;20;sci-fi;1;12;feliratos
Aaron Moorhead;The Endless;2017;4;21;horror,dráma;6,5;16;feliratos
Aaron Moorhead;Spring;2014;10;10;horror,romantikus;6,7;12;feliratos
Aaron Moorhead;Feloldozás;2012;4;22;horror,dráma;6,4;16;nem feliratos
Pascal Laugier;Mártírok;2008;8;24;horror;7,1;18;nem feliratos
Andrei Tarkovsky;Stalker;1979;5;12;sci-fi;8,1;12;feliratos
Ivan Reitman;Szellemirtók;1984;6;8;sci-fi,vígjáték;7,8;12;nem feliratos
Jason Reitman;Szellemirtók: Az örökség;2021;10;8;sci-fi,vígjáték;7,7;12;nem feliratos
Tom Shadyac;Ace Ventura: Állati nyomozoo;1994;2;4;vígjáték;6,9;12;nem feliratos
Steve Oedekerk;Ace Ventura: Hív a természet;1995;11;10;vígjáték;6,4;12;nem feliratos
Neill Blomkamp;District 9;2009;8;13;sci-fi;9,7;12;feliratos
Barry Sonnenfeld;The Addams Family;1991;11;19;vígjáték;6,9;12;nem feliratos
Quentin Tarantino;Ponyvaregény;1994;5;21;krimi;8,9;16;nem feliratos
Quentin Tarantino;Pulp Fiction;1994;5;21;krimi;8,9;16;feliratos
Quentin Tarantino;Kutyaszorítóban;1992;1;21;krimi,dráma;8,3;16;nem feliratos
Robert Rodriguez;4 szoba;1995;9;16;vígjáték;6,8;12;nem feliratos
Ridley Scott;A nyolcadik utas: a Halál;1979;5;25;horror,sci-fi;8,4;16;nem feliratos
